,left,pron,right,candidates,selected,input_sentence,predicted_label,true_label,correct
100,"The dog chased the cat, which ran up a tree.",It,waited at the bottom.,"The dog,The cat",0,"How does the sentence end?

The dog chased the cat, which ran up a tree.

 OPTIONS: 
- The dog waited at the bottom.
 - The cat waited at the bottom.
Output: ",The dog waited at the bottom.,the dog waited at the bottom.,True
101,"The dog chased the cat, which ran up a tree.",It,waited at the top.,"The dog,The cat",1,"How does the sentence end?

The dog chased the cat, which ran up a tree.

 OPTIONS: 
- The dog waited at the top.
 - The cat waited at the top.
Output: ",The dog waited at the top.,the cat waited at the top.,False
102,"In the storm, the tree fell down and crashed through the roof of my  house. Now, I have to get",it,removed.,"The tree,The roof",0,"How does the sentence end?

In the storm, the tree fell down and crashed through the roof of my  house. Now, I have to get

 OPTIONS: 
- The tree removed.
 - The roof removed.
Output: ",The tree removed.,the tree removed.,True
103,"In the storm, the tree fell down and crashed through the roof of my  house. Now, I have to get",it,repaired.,"The tree,The roof",1,"How does the sentence end?

In the storm, the tree fell down and crashed through the roof of my  house. Now, I have to get

 OPTIONS: 
- The tree repaired.
 - The roof repaired.
Output: ",The tree repaired.,the roof repaired.,False
104,The customer walked into the bank and stabbed one of the tellers.,He,was immediately taken to the police station.,"The customer,The teller",0,"How does the sentence end?

The customer walked into the bank and stabbed one of the tellers.

 OPTIONS: 
- The customer was immediately taken to the police station.
 - The teller was immediately taken to the police station.
Output: ",The customer was immediately taken to the police station.,the customer was immediately taken to the police station.,True
105,The customer walked into the bank and stabbed one of the tellers.,He,was immediately taken to the hospital.,"The customer,The teller",1,"How does the sentence end?

The customer walked into the bank and stabbed one of the tellers.

 OPTIONS: 
- The customer was immediately taken to the hospital.
 - The teller was immediately taken to the hospital.
Output: ",The customer was immediately taken to the hospital.,the teller was immediately taken to the hospital.,False
106,John was doing research in the library when he heard a man humming and  whistling.,He,was very annoyed.,"John,The man",0,"How does the sentence end?

John was doing research in the library when he heard a man humming and  whistling.

 OPTIONS: 
- John was very annoyed.
 - The man was very annoyed.
Output: ",John was very annoyed.,john was very annoyed.,True
107,John was doing research in the library when he heard a man humming and  whistling.,He,was very annoying.,"John,The man",1,"How does the sentence end?

John was doing research in the library when he heard a man humming and  whistling.

 OPTIONS: 
- John was very annoying.
 - The man was very annoying.
Output: ",The man was very annoying.,the man was very annoying.,True
108,John was jogging through the park when he saw a man juggling watermelons.,He,was very impressed.,"John,The juggler",0,"How does the sentence end?

John was jogging through the park when he saw a man juggling watermelons.

 OPTIONS: 
- John was very impressed.
 - The juggler was very impressed.
Output: ",John was very impressed.,john was very impressed.,True
109,John was jogging through the park when he saw a man juggling watermelons.,He,was very impressive.,"John,The juggler",1,"How does the sentence end?

John was jogging through the park when he saw a man juggling watermelons.

 OPTIONS: 
- John was very impressive.
 - The juggler was very impressive.
Output: ",The juggler was very impressive.,the juggler was very impressive.,True
110,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.,He,was very ill.,"Bob,Carl",0,"How does the sentence end?

Bob collapsed on the sidewalk. Soon he saw Carl coming to help.

 OPTIONS: 
- Bob was very ill.
 - Carl was very ill.
Output: ",Bob was very ill.,bob was very ill.,True
111,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.,He,was very concerned.,"Bob,Carl",1,"How does the sentence end?

Bob collapsed on the sidewalk. Soon he saw Carl coming to help.

 OPTIONS: 
- Bob was very concerned.
 - Carl was very concerned.
Output: ",Bob was very concerned.,carl was very concerned.,False
112,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because",they,are fifteen.,"Sam and Amy,Amy's parents",0,"How does the sentence end?

Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because

 OPTIONS: 
- Sam and Amy are fifteen.
 - Amy's parents are fifteen.
Output: ",Sam and Amy are fifteen.,sam and amy are fifteen.,True
113,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because",they,are snobs.,"Sam and Amy,Amy's parents",1,"How does the sentence end?

Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because

 OPTIONS: 
- Sam and Amy are snobs.
 - Amy's parents are snobs.
Output: ",Amy's parents are snobs.,amy's parents are snobs.,True
114,"Mark told Pete many lies about himself, which Pete included in his book.",He,should have been more  truthful.,"Mark,Pete",0,"How does the sentence end?

Mark told Pete many lies about himself, which Pete included in his book.

 OPTIONS: 
- Mark should have been more  truthful.
 - Pete should have been more  truthful.
Output: ",Pete should have been more truthful.,mark should have been more  truthful.,False
115,"Mark told Pete many lies about himself, which Pete included in his book.",He,should have been more  skeptical.,"Mark,Pete",1,"How does the sentence end?

Mark told Pete many lies about himself, which Pete included in his book.

 OPTIONS: 
- Mark should have been more  skeptical.
 - Pete should have been more  skeptical.
Output: ",Pete should have been more skeptical.,pete should have been more  skeptical.,False
116,Joe has sold his house and bought a new one a few miles away. He will be moving out of,it,on Thursday.,"The old house,The new house",0,"How does the sentence end?

Joe has sold his house and bought a new one a few miles away. He will be moving out of

 OPTIONS: 
- The old house on Thursday.
 - The new house on Thursday.
Output: ",The old house on Thursday.,the old house on Thursday.,True
117,Joe has sold his house and bought a new one a few miles away. He will be moving into,it,on Thursday.,"The old house,The new house",1,"How does the sentence end?

Joe has sold his house and bought a new one a few miles away. He will be moving into

 OPTIONS: 
- The old house on Thursday.
 - The new house on Thursday.
Output: ",The new house on Thursday.,the new house on Thursday.,True
118,Many people start to read Paul's books and can't put them down.,They,are gripped because Paul writes so well.,"People,Paul's books",0,"How does the sentence end?

Many people start to read Paul's books and can't put them down.

 OPTIONS: 
- People are gripped because Paul writes so well.
 - Paul's books are gripped because Paul writes so well.
Output: ",People are gripped because Paul writes so well.,people are gripped because Paul writes so well.,True
119,Many people start to read Paul's books and can't put them down.,They,are popular because Paul writes so well.,"People,Paul's books",1,"How does the sentence end?

Many people start to read Paul's books and can't put them down.

 OPTIONS: 
- People are popular because Paul writes so well.
 - Paul's books are popular because Paul writes so well.
Output: ",Paul's books are popular because Paul writes so well.,paul's books are popular because Paul writes so well.,True
120,Mary took out her flute and played one of her favorite pieces. She has had,it,since she was a child.,"The flute,The piece",0,"How does the sentence end?

Mary took out her flute and played one of her favorite pieces. She has had

 OPTIONS: 
- The flute since she was a child.
 - The piece since she was a child.
Output: ",The flute since she was a child.,the flute since she was a child.,True
121,Mary took out her flute and played one of her favorite pieces. She has loved,it,since she was a child.,"The flute,The piece",1,"How does the sentence end?

Mary took out her flute and played one of her favorite pieces. She has loved

 OPTIONS: 
- The flute since she was a child.
 - The piece since she was a child.
Output: ",The flute since she was a child.,the piece since she was a child.,False
122,"Sam pulled up a chair to the piano, but",it,"was broken, so he had to stand instead.","The chair,The piano",0,"How does the sentence end?

Sam pulled up a chair to the piano, but

 OPTIONS: 
- The chair was broken, so he had to stand instead.
 - The piano was broken, so he had to stand instead.
Output: ","The piano was broken, so he had to stand instead.","the chair was broken, so he had to stand instead.",False
123,"Sam pulled up a chair to the piano, but",it,"was broken, so he had to sing instead.","The chair,The piano",1,"How does the sentence end?

Sam pulled up a chair to the piano, but

 OPTIONS: 
- The chair was broken, so he had to sing instead.
 - The piano was broken, so he had to sing instead.
Output: ","The piano was broken, so he had to sing instead.","the piano was broken, so he had to sing instead.",True
124,"Since it was raining, I carried the newspaper in my backpack to keep",it,dry.,"The newspaper,The backpack",0,"How does the sentence end?

Since it was raining, I carried the newspaper in my backpack to keep

 OPTIONS: 
- The newspaper dry.
 - The backpack dry.
Output: ",The newspaper dry.,the newspaper dry.,True
125,"Since it was raining, I carried the newspaper over my backpack to keep",it,dry.,"The newspaper,The backpack",1,"How does the sentence end?

Since it was raining, I carried the newspaper over my backpack to keep

 OPTIONS: 
- The newspaper dry.
 - The backpack dry.
Output: ",The newspaper dry.,the backpack dry.,False
126,Sara borrowed the book from the library because she needs it for an article she is working on. She reads,it,when she gets home from work.,"The book,The article",0,"How does the sentence end?

Sara borrowed the book from the library because she needs it for an article she is working on. She reads

 OPTIONS: 
- The book when she gets home from work.
 - The article when she gets home from work.
Output: ",The book when she gets home from work.,the book when she gets home from work.,True
127,Sara borrowed the book from the library because she needs it for an article she is working on. She writes,it,when she gets home from work.,"The book,The article",1,"How does the sentence end?

Sara borrowed the book from the library because she needs it for an article she is working on. She writes

 OPTIONS: 
- The book when she gets home from work.
 - The article when she gets home from work.
Output: ",The article when she gets home from work.,the article when she gets home from work.,True
128,"This morning, Joey built a sand castle on the beach, and put a toy  flag in the highest tower, but this afternoon the tide  knocked",it,down.,"The sand castle,The flag",0,"How does the sentence end?

This morning, Joey built a sand castle on the beach, and put a toy  flag in the highest tower, but this afternoon the tide  knocked

 OPTIONS: 
- The sand castle down.
 - The flag down.
Output: ",The sand castle down.,the sand castle down.,True
129,"This morning, Joey built a sand castle on the beach, and put a toy  flag in the highest tower, but this afternoon the wind  knocked",it,down.,"The sand castle,The flag",1,"How does the sentence end?

This morning, Joey built a sand castle on the beach, and put a toy  flag in the highest tower, but this afternoon the wind  knocked

 OPTIONS: 
- The sand castle down.
 - The flag down.
Output: ",The sand castle down.,the flag down.,False
130,"Jane knocked on Susan's door, but there was no answer.",She,was disappointed.,"Jane,Susan",0,"How does the sentence end?

Jane knocked on Susan's door, but there was no answer.

 OPTIONS: 
- Jane was disappointed.
 - Susan was disappointed.
Output: ",Jane was disappointed.,jane was disappointed.,True
131,"Jane knocked on Susan's door, but there was no answer.",She,was out.,"Jane,Susan",1,"How does the sentence end?

Jane knocked on Susan's door, but there was no answer.

 OPTIONS: 
- Jane was out.
 - Susan was out.
Output: ",Jane was out.,susan was out.,False
132,"Jane knocked on the door, and Susan answered it.",She,invited her to come out.,"Jane,Susan",0,"How does the sentence end?

Jane knocked on the door, and Susan answered it.

 OPTIONS: 
- Jane invited her to come out.
 - Susan invited her to come out.
Output: ",Susan invited her to come out.,jane invited her to come out.,False
133,"Jane knocked on the door, and Susan answered it.",She,invited her to come in.,"Jane,Susan",1,"How does the sentence end?

Jane knocked on the door, and Susan answered it.

 OPTIONS: 
- Jane invited her to come in.
 - Susan invited her to come in.
Output: ",Jane invited her to come in.,susan invited her to come in.,False
134,"Sam took French classes from Adam, because",he,was eager to speak it fluently.,"Sam,Adam",0,"How does the sentence end?

Sam took French classes from Adam, because

 OPTIONS: 
- Sam was eager to speak it fluently.
 - Adam was eager to speak it fluently.
Output: ",Adam was eager to speak it fluently.,sam was eager to speak it fluently.,False
135,"Sam took French classes from Adam, because",he,was known to speak it fluently.,"Sam,Adam",1,"How does the sentence end?

Sam took French classes from Adam, because

 OPTIONS: 
- Sam was known to speak it fluently.
 - Adam was known to speak it fluently.
Output: ",Adam was known to speak it fluently.,adam was known to speak it fluently.,True
136,"The path to the lake was blocked, so we couldn't use",it,.,"The path,The lake",0,"How does the sentence end?

The path to the lake was blocked, so we couldn't use

 OPTIONS: 
- The path .
 - The lake .
Output: ",The path.,the path .,True
137,"The path to the lake was blocked, so we couldn't reach",it,.,"The path,The lake",1,"How does the sentence end?

The path to the lake was blocked, so we couldn't reach

 OPTIONS: 
- The path .
 - The lake .
Output: ",The lake.,the lake .,True
138,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,",it,was out.,"The sun,The cloud",0,"How does the sentence end?

The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,

 OPTIONS: 
- The sun was out.
 - The cloud was out.
Output: ",The sun was out.,the sun was out.,True
139,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,",it,was gone.,"The sun,The cloud",1,"How does the sentence end?

The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,

 OPTIONS: 
- The sun was gone.
 - The cloud was gone.
Output: ",The sun was gone.,the cloud was gone.,False
140,"We went to the lake, because a shark had been seen at the ocean beach, so",it,was a safer place to swim.,"The lake,The ocean beach",0,"How does the sentence end?

We went to the lake, because a shark had been seen at the ocean beach, so

 OPTIONS: 
- The lake was a safer place to swim.
 - The ocean beach was a safer place to swim.
Output: ",The lake was a safer place to swim.,the lake was a safer place to swim.,True
141,"We went to the lake, because a shark had been seen at the ocean beach, so",it,was a dangerous place to swim.,"The lake,The ocean beach",1,"How does the sentence end?

We went to the lake, because a shark had been seen at the ocean beach, so

 OPTIONS: 
- The lake was a dangerous place to swim.
 - The ocean beach was a dangerous place to swim.
Output: ",The lake was a dangerous place to swim.,the ocean beach was a dangerous place to swim.,False
142,"Sam tried to paint a picture of shepherds with sheep, but",they,ended up looking more like golfers.,"The shepherds,The sheep",0,"How does the sentence end?

Sam tried to paint a picture of shepherds with sheep, but

 OPTIONS: 
- The shepherds ended up looking more like golfers.
 - The sheep ended up looking more like golfers.
Output: ",The sheep ended up looking more like golfers.,the shepherds ended up looking more like golfers.,False
143,"Sam tried to paint a picture of shepherds with sheep, but",they,ended up looking more like dogs.,"The shepherds,The sheep",1,"How does the sentence end?

Sam tried to paint a picture of shepherds with sheep, but

 OPTIONS: 
- The shepherds ended up looking more like dogs.
 - The sheep ended up looking more like dogs.
Output: ",The sheep ended up looking more like dogs.,the sheep ended up looking more like dogs.,True
144,"Mary tucked her daughter Anne into bed, so that",she,could work.,"Mary,Mary's daughter",0,"How does the sentence end?

Mary tucked her daughter Anne into bed, so that

 OPTIONS: 
- Mary could work.
 - Mary's daughter could work.
Output: ",Mary's daughter could work.,mary could work.,False
145,"Mary tucked her daughter Anne into bed, so that",she,could sleep.,"Mary,Mary's daughter",1,"How does the sentence end?

Mary tucked her daughter Anne into bed, so that

 OPTIONS: 
- Mary could sleep.
 - Mary's daughter could sleep.
Output: ",Mary's daughter could sleep.,mary's daughter could sleep.,True
146,"Fred and Alice had very warm down coats, but",they,were not prepared for the cold in Alaska.,"Fred and Alice,coats",0,"How does the sentence end?

Fred and Alice had very warm down coats, but

 OPTIONS: 
- Fred and Alice were not prepared for the cold in Alaska.
 - coats were not prepared for the cold in Alaska.
Output: ",Fred and Alice were not prepared for the cold in Alaska.,fred and alice were not prepared for the cold in Alaska.,True
147,"Fred and Alice had very warm down coats, but",they,were not enough for the cold in Alaska.,"Fred and Alice,coats",1,"How does the sentence end?

Fred and Alice had very warm down coats, but

 OPTIONS: 
- Fred and Alice were not enough for the cold in Alaska.
 - coats were not enough for the cold in Alaska.
Output: ",coats were not enough for the cold in Alaska.,coats were not enough for the cold in Alaska.,True
148,Thomson visited Cooper's grave in 1765. At that date,he,had been travelling for five years.,"Thomson,Cooper",0,"How does the sentence end?

Thomson visited Cooper's grave in 1765. At that date

 OPTIONS: 
- Thomson had been travelling for five years.
 - Cooper had been travelling for five years.
Output: ",Thomson had been travelling for five years.,thomson had been travelling for five years.,True
149,Thomson visited Cooper's grave in 1765. At that date,he,had been dead for five years.,"Thomson,Cooper",1,"How does the sentence end?

Thomson visited Cooper's grave in 1765. At that date

 OPTIONS: 
- Thomson had been dead for five years.
 - Cooper had been dead for five years.
Output: ",Cooper had been dead for five years.,cooper had been dead for five years.,True
150,"Jackson was greatly influenced by Arnold, though",he,lived two centuries later.,"Jackson,Arnold",0,"How does the sentence end?

Jackson was greatly influenced by Arnold, though

 OPTIONS: 
- Jackson lived two centuries later.
 - Arnold lived two centuries later.
Output: ",Arnold lived two centuries later.,jackson lived two centuries later.,False
151,"Jackson was greatly influenced by Arnold, though",he,lived two centuries earlier.,"Jackson,Arnold",1,"How does the sentence end?

Jackson was greatly influenced by Arnold, though

 OPTIONS: 
- Jackson lived two centuries earlier.
 - Arnold lived two centuries earlier.
Output: ",Arnold lived two centuries earlier.,arnold lived two centuries earlier.,True
152,I can't cut that tree down with that axe;,it,is too thick.,"The tree,The axe",0,"How does the sentence end?

I can't cut that tree down with that axe;

 OPTIONS: 
- The tree is too thick.
 - The axe is too thick.
Output: ",The tree is too thick.,the tree is too thick.,True
153,I can't cut that tree down with that axe;,it,is too small.,"The tree,The axe",1,"How does the sentence end?

I can't cut that tree down with that axe;

 OPTIONS: 
- The tree is too small.
 - The axe is too small.
Output: ",The axe is too small.,the axe is too small.,True
154,The foxes are getting in at night and attacking the chickens. I shall have to kill,them,.,"The foxes,The chickens",0,"How does the sentence end?

The foxes are getting in at night and attacking the chickens. I shall have to kill

 OPTIONS: 
- The foxes .
 - The chickens .
Output: ",The chickens.,the foxes .,False
155,The foxes are getting in at night and attacking the chickens. I shall have to guard,them,.,"The foxes,The chickens",1,"How does the sentence end?

The foxes are getting in at night and attacking the chickens. I shall have to guard

 OPTIONS: 
- The foxes .
 - The chickens .
Output: ",The chickens.,the chickens .,True
156,The foxes are getting in at night and attacking the chickens.,They,have gotten very bold.,"The foxes,The chickens",0,"How does the sentence end?

The foxes are getting in at night and attacking the chickens.

 OPTIONS: 
- The foxes have gotten very bold.
 - The chickens have gotten very bold.
Output: ",The foxes have gotten very bold.,the foxes have gotten very bold.,True
157,The foxes are getting in at night and attacking the chickens.,They,have gotten very nervous.,"The foxes,The chickens",1,"How does the sentence end?

The foxes are getting in at night and attacking the chickens.

 OPTIONS: 
- The foxes have gotten very nervous.
 - The chickens have gotten very nervous.
Output: ",The chickens have gotten very nervous.,the chickens have gotten very nervous.,True
158,"Fred covered his eyes with his hands, because the wind was blowing sand around. He opened",them,when the wind stopped.,"His eyes,His hands",0,"How does the sentence end?

Fred covered his eyes with his hands, because the wind was blowing sand around. He opened

 OPTIONS: 
- His eyes when the wind stopped.
 - His hands when the wind stopped.
Output: ",His eyes when the wind stopped.,his eyes when the wind stopped.,True
159,"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered",them,when the wind stopped.,"His eyes,His hands",1,"How does the sentence end?

Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered

 OPTIONS: 
- His eyes when the wind stopped.
 - His hands when the wind stopped.
Output: ",His eyes when the wind stopped.,his hands when the wind stopped.,False
160,"The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured",it,was too hard to pronounce.,"Terpsichore,Tina",0,"How does the sentence end?

The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured

 OPTIONS: 
- Terpsichore was too hard to pronounce.
 - Tina was too hard to pronounce.
Output: ",Terpsichore was too hard to pronounce.,terpsichore was too hard to pronounce.,True
161,"The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured",it,was easier to pronounce.,"Terpsichore,Tina",1,"How does the sentence end?

The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured

 OPTIONS: 
- Terpsichore was easier to pronounce.
 - Tina was easier to pronounce.
Output: ",Tina was easier to pronounce.,tina was easier to pronounce.,True
162,Fred watched TV while George went out to buy groceries. After an hour,he,got up.,"Fred,George",0,"How does the sentence end?

Fred watched TV while George went out to buy groceries. After an hour

 OPTIONS: 
- Fred got up.
 - George got up.
Output: ",Fred got up.,fred got up.,True
163,Fred watched TV while George went out to buy groceries. After an hour,he,got back.,"Fred,George",1,"How does the sentence end?

Fred watched TV while George went out to buy groceries. After an hour

 OPTIONS: 
- Fred got back.
 - George got back.
Output: ",Fred got back.,george got back.,False
164,"Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned",it,on.,"The dishwasher,The TV",0,"How does the sentence end?

Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned

 OPTIONS: 
- The dishwasher on.
 - The TV on.
Output: ",The dishwasher on.,the dishwasher on.,True
165,"Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned",it,off.,"The dishwasher,The TV",1,"How does the sentence end?

Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned

 OPTIONS: 
- The dishwasher off.
 - The TV off.
Output: ",The dishwasher off.,the tv off.,False
166,Fred is the only man still alive who remembers my great-grandfather.,He,is a remarkable man.,"Fred,My great-grandfather",0,"How does the sentence end?

Fred is the only man still alive who remembers my great-grandfather.

 OPTIONS: 
- Fred is a remarkable man.
 - My great-grandfather is a remarkable man.
Output: ",Fred is a remarkable man.,fred is a remarkable man.,True
167,Fred is the only man still alive who remembers my great-grandfather.,He,was a remarkable man.,"Fred,My great-grandfather",1,"How does the sentence end?

Fred is the only man still alive who remembers my great-grandfather.

 OPTIONS: 
- Fred was a remarkable man.
 - My great-grandfather was a remarkable man.
Output: ",My great-grandfather was a remarkable man.,my great-grandfather was a remarkable man.,True
168,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he,was twelve years old.,"Fred,My father",0,"How does the sentence end?

Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,

 OPTIONS: 
- Fred was twelve years old.
 - My father was twelve years old.
Output: ",My father was twelve years old.,fred was twelve years old.,False
169,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he,was twelve months old.,"Fred,My father",1,"How does the sentence end?

Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,

 OPTIONS: 
- Fred was twelve months old.
 - My father was twelve months old.
Output: ",My father was twelve months old.,my father was twelve months old.,True
170,"In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,",they,were defeated within weeks.,"Kamchatka,Yakutsk",0,"How does the sentence end?

In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,

 OPTIONS: 
- Kamchatka were defeated within weeks.
 - Yakutsk were defeated within weeks.
Output: ",Kamchatka were defeated within weeks.,kamchatka were defeated within weeks.,True
171,"In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,",they,were victorious within weeks.,"Kamchatka,Yakutsk",1,"How does the sentence end?

In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,

 OPTIONS: 
- Kamchatka were victorious within weeks.
 - Yakutsk were victorious within weeks.
Output: ",Kamchatka were victorious within weeks.,yakutsk were victorious within weeks.,False
172,Look! There is a minnow swimming right below that duck!,It,had better get away to safety fast!,"The minnow,The duck",0,"How does the sentence end?

Look! There is a minnow swimming right below that duck!

 OPTIONS: 
- The minnow had better get away to safety fast!
 - The duck had better get away to safety fast!
Output: ",The minnow had better get away to safety fast!,the minnow had better get away to safety fast!,True
173,Look! There is a shark swimming right below that duck!,It,had better get away to safety fast!,"The shark,The duck",1,"How does the sentence end?

Look! There is a shark swimming right below that duck!

 OPTIONS: 
- The shark had better get away to safety fast!
 - The duck had better get away to safety fast!
Output: ",The shark had better get away to safety fast!,the duck had better get away to safety fast!,False
174,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They,hunted for evidence on the river banks.,"Archaeologists,Prehistoric humans",0,"How does the sentence end?

Archaeologists have concluded that humans lived in Laputa 20,000 years ago.

 OPTIONS: 
- Archaeologists hunted for evidence on the river banks.
 - Prehistoric humans hunted for evidence on the river banks.
Output: ",Archaeologists hunted for evidence on the river banks.,archaeologists hunted for evidence on the river banks.,True
175,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They,hunted for deer on the river banks.,"Archaeologists,Prehistoric humans",1,"How does the sentence end?

Archaeologists have concluded that humans lived in Laputa 20,000 years ago.

 OPTIONS: 
- Archaeologists hunted for deer on the river banks.
 - Prehistoric humans hunted for deer on the river banks.
Output: ",Prehistoric humans hunted for deer on the river banks.,prehistoric humans hunted for deer on the river banks.,True
176,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.,They,began two years ago.,"The scientists,The fish",0,"How does the sentence end?

The scientists are studying three species of fish that have recently been found living in the Indian Ocean.

 OPTIONS: 
- The scientists began two years ago.
 - The fish began two years ago.
Output: ",The scientists began two years ago.,the scientists began two years ago.,True
177,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.,They,appeared two years ago.,"The scientists,The fish",1,"How does the sentence end?

The scientists are studying three species of fish that have recently been found living in the Indian Ocean.

 OPTIONS: 
- The scientists appeared two years ago.
 - The fish appeared two years ago.
Output: ",The fish appeared two years ago.,the fish appeared two years ago.,True
178,The journalists interviewed the stars of the new movie.,They,"were very persistent, so the interview lasted for a long time.","The journalists,The stars",0,"How does the sentence end?

The journalists interviewed the stars of the new movie.

 OPTIONS: 
- The journalists were very persistent, so the interview lasted for a long time.
 - The stars were very persistent, so the interview lasted for a long time.
Output: ","The stars were very persistent, so the interview lasted for a long time.","the journalists were very persistent, so the interview lasted for a long time.",False
179,The journalists interviewed the stars of the new movie.,They,"were very cooperative, so the interview lasted for a long time.","The journalists,The stars",1,"How does the sentence end?

The journalists interviewed the stars of the new movie.

 OPTIONS: 
- The journalists were very cooperative, so the interview lasted for a long time.
 - The stars were very cooperative, so the interview lasted for a long time.
Output: ","The stars were very cooperative, so the interview lasted for a long time.","the stars were very cooperative, so the interview lasted for a long time.",True
180,The police arrested all of the gang members.,They,were trying to stop the drug trade in the neighborhood.,"The police,The gang members",0,"How does the sentence end?

The police arrested all of the gang members.

 OPTIONS: 
- The police were trying to stop the drug trade in the neighborhood.
 - The gang members were trying to stop the drug trade in the neighborhood.
Output: ",The gang members were trying to stop the drug trade in the neighborhood.,the police were trying to stop the drug trade in the neighborhood.,False
181,The police arrested all of the gang members.,They,were trying to run the drug trade in the neighborhood.,"The police,The gang members",1,"How does the sentence end?

The police arrested all of the gang members.

 OPTIONS: 
- The police were trying to run the drug trade in the neighborhood.
 - The gang members were trying to run the drug trade in the neighborhood.
Output: ",The gang members were trying to run the drug trade in the neighborhood.,the gang members were trying to run the drug trade in the neighborhood.,True
182,I put the cake away in the refrigerator.,It,has a lot of butter in it.,"The cake,The refrigerator",0,"How does the sentence end?

I put the cake away in the refrigerator.

 OPTIONS: 
- The cake has a lot of butter in it.
 - The refrigerator has a lot of butter in it.
Output: ",The cake has a lot of butter in it.,the cake has a lot of butter in it.,True
183,I put the cake away in the refrigerator.,It,has a lot of leftovers in it.,"The cake,The refrigerator",1,"How does the sentence end?

I put the cake away in the refrigerator.

 OPTIONS: 
- The cake has a lot of leftovers in it.
 - The refrigerator has a lot of leftovers in it.
Output: ",The cake has a lot of leftovers in it.,the refrigerator has a lot of leftovers in it.,False
184,Sam broke both his ankles and he's walking with crutches. But a month or so from now,they,should be better.,"The ankles,The crutches",0,"How does the sentence end?

Sam broke both his ankles and he's walking with crutches. But a month or so from now

 OPTIONS: 
- The ankles should be better.
 - The crutches should be better.
Output: ",The crutches should be better.,the ankles should be better.,False
185,Sam broke both his ankles and he's walking with crutches. But a month or so from now,they,should be unnecessary.,"The ankles,The crutches",1,"How does the sentence end?

Sam broke both his ankles and he's walking with crutches. But a month or so from now

 OPTIONS: 
- The ankles should be unnecessary.
 - The crutches should be unnecessary.
Output: ",The crutches should be unnecessary.,the crutches should be unnecessary.,True
186,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.",They,were very much in the minority.,"The sponsors,The opponents",0,"How does the sentence end?

When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.

 OPTIONS: 
- The sponsors were very much in the minority.
 - The opponents were very much in the minority.
Output: ",The opponents were very much in the minority.,the sponsors were very much in the minority.,False
187,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.",They,were very much in the majority.,"The sponsors,The opponents",1,"How does the sentence end?

When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.

 OPTIONS: 
- The sponsors were very much in the majority.
 - The opponents were very much in the majority.
Output: ",The opponents were very much in the majority.,the opponents were very much in the majority.,True
188,"Everyone really loved the oatmeal cookies; only a few people liked the  chocolate chip cookies. Next time, we should make more of",them,.,"The oatmeal cookies,The chocolate chip cookies",0,"How does the sentence end?

Everyone really loved the oatmeal cookies; only a few people liked the  chocolate chip cookies. Next time, we should make more of

 OPTIONS: 
- The oatmeal cookies .
 - The chocolate chip cookies .
Output: ",The oatmeal cookies.,the oatmeal cookies .,True
