,left,pron,right,candidates,selected,predicted,correct_sent,correct,number of shots,shot,input_prompt
186,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.",They,were very much in the minority.,"The sponsors,The opponents",0,the sponsors were very much in the minority,the sponsors were very much in the minority,True,1,1,
187,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.",They,were very much in the majority.,"The sponsors,The opponents",1,the opponents were very much in the majority,the opponents were very much in the majority,True,1,1,
188,"Everyone really loved the oatmeal cookies; only a few people liked the  chocolate chip cookies. Next time, we should make more of",them,.,"The oatmeal cookies,The chocolate chip cookies",0,the oatmeal cookies,the oatmeal cookies,True,1,1,
189,"Everyone really loved the oatmeal cookies; only a few people liked the  chocolate chip cookies. Next time, we should make fewer of",them,.,"The oatmeal cookies,The chocolate chip cookies",1,the chocolate chip cookies,the chocolate chip cookies,True,1,1,
190,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of",them,.,"copies of the newsletter,chairs",0,copies of the newsletter,copies of the newsletter,True,1,1,
191,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of",them,.,"copies of the newsletter,chairs",1,chairs,chairs,True,1,1,
192,"I stuck a pin through a carrot. When I pulled the pin out,",it,left a hole.,"The pin,The carrot",0,the pin left a hole,the pin left a hole,True,1,1,
193,"I stuck a pin through a carrot. When I pulled the pin out,",it,had a hole.,"The pin,The carrot",1,the carrot had a hole,the carrot had a hole,True,1,1,
194,"I couldn't find a spoon, so I tried using a pen to stir my  coffee. But that turned out to be a bad idea, because",it,got full of coffee.,"The pen,The coffee",0,the pen got full of coffee,the pen got full of coffee,True,1,1,
195,"I couldn't find a spoon, so I tried using a pen to stir my  coffee. But that turned out to be a bad idea, because",it,got full of ink.,"The pen,The coffee",1,the pen got full of ink,the coffee got full of ink,False,1,1,
196,Steve follows Fred's example in everything.,He,admires him hugely.,"Steve,Fred",0,steve admires him hugely,steve admires him hugely,True,1,1,
197,Steve follows Fred's example in everything.,He,influences him hugely.,"Steve,Fred",1,fred influences him hugely,fred influences him hugely,True,1,1,
198,The table won't fit through the doorway because,it,is too wide.,"The table,The doorway",0,the table is too wide,the table is too wide,True,1,1,
199,The table won't fit through the doorway because,it,is too narrow.,"The table,The doorway",1,the doorway is too narrow,the doorway is too narrow,True,1,1,
200,Grace was happy to trade me her sweater for my jacket. She thinks,it,looks dowdy on her.,"The sweater,The jacket",0,the sweater looks dowdy on her,the sweater looks dowdy on her,True,1,1,
201,Grace was happy to trade me her sweater for my jacket. She thinks,it,looks great on her.,"The sweater,The jacket",1,the sweater looks great on her,the jacket looks great on her,False,1,1,
202,John hired Bill to take care of,him,.,"John,Bill",0,john,john,True,1,1,
203,John hired himself out to Bill to take care of,him,.,"John,Bill",1,john,bill,False,1,1,
204,"John promised Bill to leave, so an hour later",he,left.,"John,Bill",0,john left,john left,True,1,1,
205,"John ordered Bill to leave, so an hour later",he,left.,"John,Bill",1,bill left,bill left,True,1,1,
206,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties,he,faced in his research.,"Goodman,Xenophanes",0,goodman faced in his research,goodman faced in his research,True,1,1,
207,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties,he,faced in his childhood.,"Goodman,Xenophanes",1,xenophanes faced in his childhood,xenophanes faced in his childhood,True,1,1,
208,"Emma's mother had died long ago, and",her,education had been managed by an excellent woman as governess.,"Emma,Emma's mother",0,emmas education had been managed by an excellent woman as governess,emma education had been managed by an excellent woman as governess,False,1,1,
209,"Emma's mother had died long ago, and",her,place had been taken by an excellent woman as governess.,"Emma,Emma's mother",1,emmas mother place had been taken by an excellent woman as governess,emmas mother place had been taken by an excellent woman as governess,True,1,1,
210,Jane knocked on Susan's door but,she,did not get an answer.,"Jane,Susan",0,jane did not get an answer,jane did not get an answer,True,1,1,
211,Jane knocked on Susan's door but,she,did not answer.,"Jane,Susan",1,susan did not answer,susan did not answer,True,1,1,
212,Joe paid the detective after,he,received the final report on the case.,"Joe,the detective",0,joe received the final report on the case,joe received the final report on the case,True,1,1,
213,Joe paid the detective after,he,delivered the final report on the case.,"Joe,the detective",1,joe delivered the final report on the case,the detective delivered the final report on the case,False,1,1,
214,"Beth didn't get angry with Sally, who had cut her off, because",she,stopped and counted to ten.,"Beth,Sally",0,beth stopped and counted to ten,beth stopped and counted to ten,True,1,1,
215,"Beth didn't get angry with Sally, who had cut her off, because",she,stopped and apologized.,"Beth,Sally",1,sally stopped and apologized,sally stopped and apologized,True,1,1,
216,Jim signaled the barman and gestured toward,his,empty glass,"Jim,The barman",0,jims empty glass,jim empty glass,False,1,1,
217,Jim signaled the barman and gestured toward,his,bathroom key.,"Jim,The barman",1,jim bathroom key,the barman bathroom key,False,1,1,
218,Dan took the rear seat while Bill claimed the front because,his,Dibs! was slow.,"Dan,Bill",0,bill dibs was slow,dan dibs was slow,False,1,1,
219,Dan took the rear seat while Bill claimed the front because,his,Dibs! was quicker.,"Dan,Bill",1,bill dibs was quicker,bill dibs was quicker,True,1,1,
220,"Tom said ""Check"" to Ralph as he moved",his,bishop.,"Tom,Ralph",0,tom bishop,tom bishop,True,1,1,
221,"Tom said ""Check"" to Ralph as he took",his,bishop.,"Tom,Ralph",1,ralph bishop,ralph bishop,True,1,1,
222,"As Andrea in the crop duster passed over Susan,",she,could see the landing strip.,"Andrea,Susan",0,andrea could see the landing strip,andrea could see the landing strip,True,1,1,
223,"As Andrea in the crop duster passed over Susan,",she,could see the landing gear.,"Andrea,Susan",1,andrea could see the landing gear,susan could see the landing gear,False,1,1,
224,Tom gave Ralph a lift to school so,he,wouldn't have to drive alone.,"Tom,Ralph",0,ralph wouldnt have to drive alone,tom wouldnt have to drive alone,False,1,1,
225,Tom gave Ralph a lift to school so,he,wouldn't have to walk.,"Tom,Ralph",1,ralph wouldnt have to walk,ralph wouldnt have to walk,True,1,1,
226,Bill passed the half-empty plate to John because,he,was full.,"Bill,John",0,bill was full,bill was full,True,1,1,
227,Bill passed the half-empty plate to John because,he,was hungry.,"Bill,John",1,john was hungry,john was hungry,True,1,1,
228,Bill passed the gameboy to John because,his,turn was over.,"Bill,John",0,john turn was over,bill turn was over,False,1,1,
229,Bill passed the gameboy to John because,his,turn was next.,"Bill,John",1,john turn was next,john turn was next,True,1,1,
230,The man lifted the boy onto,his,shoulders.,"The man,The boy",0,the mans shoulders,the man shoulders,False,1,1,
231,The man lifted the boy onto,his,bunk bed.,"The man,The boy",1,the mans bunk bed,the boy bunk bed,False,1,1,
232,Stretching,her,"back, the woman smiled at the girl.","The woman,The girl",0,the girl back the woman smiled at the girl,the woman back the woman smiled at the girl,False,1,1,
233,Patting,her,"back, the woman smiled at the girl.","The woman,The girl",1,the girl back the woman smiled at the girl,the girl back the woman smiled at the girl,True,1,1,
234,Billy cried because Toby wouldn't accept,his,toy.,"Billy,Toby",0,billys toy,billy toy,False,1,1,
235,Billy cried because Toby wouldn't share,his,toy.,"Billy,Toby",1,toby toy,toby toy,True,1,1,
236,"Lily spoke to Donna, breaking",her,silence.,"Lily,Donna",0,lily silence,lily silence,True,1,1,
237,"Lily spoke to Donna, breaking",her,concentration.,"Lily,Donna",1,lilys concentration,donna concentration,False,1,1,
238,"When Tommy dropped his ice cream, Timmy giggled, so father gave",him,a sympathetic look.,"Tommy,Timmy",0,timmy a sympathetic look,tommy a sympathetic look,False,1,1,
239,"When Tommy dropped his ice cream, Timmy giggled, so father gave",him,a stern look.,"Tommy,Timmy",1,timmy a stern look,timmy a stern look,True,1,1,
240,"As Ollie carried Tommy up the long winding steps,",his,legs ached.,"Ollie,Tommy",0,ollies legs ached,ollie legs ached,False,1,1,
241,"As Ollie carried Tommy up the long winding steps,",his,legs dangled.,"Ollie,Tommy",1,ollies legs dangled,tommy legs dangled,False,1,1,
242,The father carried the sleeping boy in,his,arms,"The father,The boy",0,the fathers arms,the father arms,False,1,1,
243,The father carried the sleeping boy in,his,bassinet.,"The father,The boy",1,the fathers bassinet,the boy bassinet,False,1,1,
244,The woman held the girl against,her,chest,"The woman,The girl",0,the woman chest,the woman chest,True,1,1,
245,The woman held the girl against,her,will.,"The woman,The girl",1,the woman will,the girl will,False,1,1,
246,"Pam's parents came home and found her having sex with her boyfriend, Paul.",They,were furious about it.,"Pam's parents,Pam and Paul",0,pams parents were furious about it,pams parents were furious about it,True,1,1,
247,"Pam's parents came home and found her having sex with her boyfriend, Paul.",They,were embarrassed about it.,"Pam's parents,Pam and Paul",1,pam and paul were embarrassed about it,pam and paul were embarrassed about it,True,1,1,
248,Dr. Adams informed Kate that,she,had retired and presented several options for future treatment.,"Dr. Adams,Kate",0,dr adams had retired and presented several options for future treatment,dr adams had retired and presented several options for future treatment,True,1,1,
249,Dr. Adams informed Kate that,she,had cancer and presented several options for future treatment.,"Dr. Adams,Kate",1,kate had cancer and presented several options for future treatment,kate had cancer and presented several options for future treatment,True,1,1,
250,Dan had to stop Bill from toying with the injured bird.,He,is very compassionate.,"Dan,Bill",0,dan is very compassionate,dan is very compassionate,True,1,1,
251,Dan had to stop Bill from toying with the injured bird.,He,is very cruel.,"Dan,Bill",1,bill is very cruel,bill is very cruel,True,1,1,
252,"George got free tickets to the play, but he gave them to Eric, even though",he,was particularly eager to see it.,"George,Eric",0,eric was particularly eager to see it,george was particularly eager to see it,False,1,1,
253,"George got free tickets to the play, but he gave them to Eric, because",he,was particularly eager to see it.,"George,Eric",1,eric was particularly eager to see it,eric was particularly eager to see it,True,1,1,
254,"George got free tickets to the play, but he gave them to Eric, because",he,was not particularly eager to see it.,"George,Eric",0,george was not particularly eager to see it,george was not particularly eager to see it,True,1,1,
255,Jane gave Joan candy because,she,wasn't hungry.,"Jane,Joan",0,joan wasnt hungry,jane wasnt hungry,False,1,1,
256,Jane gave Joan candy because,she,was hungry.,"Jane,Joan",1,joan was hungry,joan was hungry,True,1,1,
257,"I tried to paint a picture of an orchard, with lemons in the lemon trees,  but",they,came out looking more like light bulbs.,"lemons,lemon trees",0,lemons came out looking more like light bulbs,lemons came out looking more like light bulbs,True,1,1,
258,"I tried to paint a picture of an orchard, with lemons in the lemon trees,  but",they,came out looking more like telephone poles.,"lemons,lemon trees",1,lemons came out looking more like telephone poles,lemon trees came out looking more like telephone poles,False,1,1,
259,James asked Robert for a favor but,he,was refused.,"James,Robert",0,james was refused,james was refused,True,1,1,
260,James asked Robert for a favor but,he,refused.,"James,Robert",1,james refused,robert refused,False,1,1,
261,Kirilov ceded the presidency to Shatov because,he,was less popular.,"Kirilov,Shatov",0,kirilov was less popular,kirilov was less popular,True,1,1,
262,Kirilov ceded the presidency to Shatov because,he,was more popular.,"Kirilov,Shatov",1,shatov was more popular,shatov was more popular,True,1,1,
263,Emma did not pass the ball to Janie although,she,saw that she was open.,"Emma,Janie",0,emma saw that she was open,emma saw that she was open,True,1,1,
264,Emma did not pass the ball to Janie although,she,was open.,"Emma,Janie",1,emma was open,janie was open,False,1,1,
265,I put the butterfly wing on the table and,it,broke.,"The butterfly wing,The table",0,the butterfly wing broke,the butterfly wing broke,True,1,1,
266,I put the heavy book on the table and,it,broke.,"The heavy book,The table",1,the table broke,the table broke,True,1,1,
267,Madonna fired her trainer because,she,couldn't stand her boyfriend.,"Madonna,The trainer",0,madonna couldnt stand her boyfriend,madonna couldnt stand her boyfriend,True,1,1,
268,Madonna fired her trainer because,she,slept with her boyfriend.,"Madonna,The trainer",1,madonna slept with her boyfriend,the trainer slept with her boyfriend,False,1,1,
269,Madonna fired her trainer because she slept with,her,boyfriend.,"Madonna,The trainer",0,the trainers boyfriend,madonna boyfriend,False,1,1,
270,Madonna fired her trainer because she couldn't stand,her,boyfriend.,"Madonna,The trainer",1,the trainers boyfriend,the trainer boyfriend,False,1,1,
271,Carol believed that Rebecca suspected that,she,had stolen the watch.,"Carol,Rebecca",0,rebecca had stolen the watch,carol had stolen the watch,False,1,1,
272,Carol believed that Rebecca regretted that,she,had stolen the watch.,"Carol,Rebecca",1,rebecca had stolen the watch,rebecca had stolen the watch,True,1,1,
273,This book introduced Shakespeare to Ovid; it was a major influence on,his,writing.,"Shakespeare,Ovid",0,shakespeare writing,shakespeare writing,True,1,1,
274,This book introduced Shakespeare to Goethe; it was a major influence on,his,writing.,"Shakespeare,Goethe",1,goethe writing,goethe writing,True,1,1,
275,This book introduced Shakespeare to Ovid; it was a fine selection of,his,writing.,"Shakespeare,Ovid",1,shakespeare writing,ovid writing,False,1,1,
276,This book introduced Shakespeare to Goethe; it was a fine selection of,his,writing.,"Shakespeare,Goethe",0,shakespeare writing,shakespeare writing,True,1,1,
277,Alice looked for her friend Jade in the crowd. Since,she,"always has good luck, Alice spotted her quickly.","Alice,Jade",0,alice always has good luck alice spotted her quickly,alice always has good luck alice spotted her quickly,True,1,1,
278,Alice looked for her friend Jade in the crowd. Since,she,"always wears a red turban, Alice spotted her quickly.","Alice,Jade",1,jade always wears a red turban alice spotted her quickly,jade always wears a red turban alice spotted her quickly,True,1,1,
279,"During a game of tag, Ethan chased Luke because",he,"was ""it"".","Ethan,Luke",0,ethan was it,ethan was it,True,1,1,
280,"During a game of tag, Ethan ran from Luke because",he,"was ""it"".","Ethan,Luke",1,ethan was it,luke was it,False,1,1,
281,At the Loebner competition the judges couldn't figure out which respondents were the chatbots because,they,were so stupid.,"the judges,the chatbots",0,the chatbots were so stupid,the judges were so stupid,False,1,1,
282,At the Loebner competition the judges couldn't figure out which respondents were the chatbots because,they,were so advanced.,"the judges,the chatbots",1,the chatbots were so advanced,the chatbots were so advanced,True,1,1,
283,"The user changed his password from ""GrWQWu8JyC"" to ""willow-towered Canopy Huntertropic wrestles"" as",it,was easy to forget.,"GrWQWu8JyC,willow-towered Canopy Huntertropic wrestles",0,grwqwu8jyc was easy to forget,grwqwu8jyc was easy to forget,True,1,1,
284,"The user changed his password from ""GrWQWu8JyC"" to ""willow-towered Canopy Huntertropic wrestles"" as",it,was easy to remember.,"GrWQWu8JyC,willow-towered Canopy Huntertropic wrestles",1,grwqwu8jyc was easy to remember,willowtowered canopy huntertropic wrestles was easy to remember,False,1,1,
